"統計名：","人口推計 2019年10月1日現在人口推計"
"表番号：","005"
"表題：","都道府県，男女別人口－総人口，日本人人口"
"実施年月：","2019年","10月"
"市区町村時点（年月日）：","-"

"***","　"
"-","該当数値がないもの　"

"","","","","","","","","/時間軸（年） コード","2019000000"
"表章項目 コード","表章項目","男女別 コード","男女別","人口 コード","人口","全国・都道府県 コード","全国・都道府県","/時間軸（年）","2019年"
"001","人口【千人】","002","女","001","総人口","07000","福島県","","931"
"001","人口【千人】","002","女","001","総人口","08000","茨城県","","1,433"
"001","人口【千人】","002","女","001","総人口","09000","栃木県","","970"
"001","人口【千人】","002","女","001","総人口","10000","群馬県","","981"
"001","人口【千人】","002","女","001","総人口","11000","埼玉県","","3,682"
"001","人口【千人】","002","女","001","総人口","12000","千葉県","","3,155"
"001","人口【千人】","002","女","001","総人口","13000","東京都","","7,075"
"001","人口【千人】","002","女","001","総人口","14000","神奈川県","","4,613"
"001","人口【千人】","002","女","001","総人口","15000","新潟県","","1,145"
"001","人口【千人】","002","女","001","総人口","16000","富山県","","537"
"001","人口【千人】","002","女","001","総人口","17000","石川県","","585"
"001","人口【千人】","002","女","001","総人口","18000","福井県","","394"
"001","人口【千人】","002","女","001","総人口","19000","山梨県","","414"
"001","人口【千人】","002","女","001","総人口","20000","長野県","","1,049"
"001","人口【千人】","002","女","001","総人口","21000","岐阜県","","1,022"
"001","人口【千人】","002","女","001","総人口","22000","静岡県","","1,847"
"001","人口【千人】","002","女","001","総人口","23000","愛知県","","3,773"
"001","人口【千人】","002","女","001","総人口","24000","三重県","","911"
"001","人口【千人】","002","女","001","総人口","25000","滋賀県","","715"
"001","人口【千人】","002","女","001","総人口","26000","京都府","","1,349"
"001","人口【千人】","002","女","001","総人口","27000","大阪府","","4,582"
"001","人口【千人】","002","女","001","総人口","28000","兵庫県","","2,861"
"001","人口【千人】","002","女","001","総人口","29000","奈良県","","704"
"001","人口【千人】","002","女","001","総人口","30000","和歌山県","","490"
"001","人口【千人】","002","女","001","総人口","31000","鳥取県","","290"
"001","人口【千人】","002","女","001","総人口","32000","島根県","","349"
"001","人口【千人】","002","女","001","総人口","33000","岡山県","","980"
"001","人口【千人】","002","女","001","総人口","34000","広島県","","1,442"
"001","人口【千人】","002","女","001","総人口","35000","山口県","","713"
"001","人口【千人】","002","女","001","総人口","36000","徳島県","","381"
"001","人口【千人】","002","女","001","総人口","37000","香川県","","492"
"001","人口【千人】","002","女","001","総人口","38000","愛媛県","","705"
"001","人口【千人】","002","女","001","総人口","39000","高知県","","369"
"001","人口【千人】","002","女","001","総人口","40000","福岡県","","2,688"
"001","人口【千人】","002","女","001","総人口","41000","佐賀県","","429"
"001","人口【千人】","002","女","001","総人口","42000","長崎県","","702"
"001","人口【千人】","002","女","001","総人口","43000","熊本県","","922"
"001","人口【千人】","002","女","001","総人口","44000","大分県","","597"
"001","人口【千人】","002","女","001","総人口","45000","宮崎県","","568"
"001","人口【千人】","002","女","001","総人口","46000","鹿児島県","","849"
"001","人口【千人】","002","女","001","総人口","47000","沖縄県","","738"
"001","人口【千人】","002","女","002","日本人人口","00000","全国","","63,523"
"001","人口【千人】","002","女","002","日本人人口","01000","北海道","","2,756"
"001","人口【千人】","002","女","002","日本人人口","02000","青森県","","657"
"001","人口【千人】","002","女","002","日本人人口","03000","岩手県","","631"
"001","人口【千人】","002","女","002","日本人人口","04000","宮城県","","1,167"
"001","人口【千人】","002","女","002","日本人人口","05000","秋田県","","509"
"001","人口【千人】","002","女","002","日本人人口","06000","山形県","","552"
"001","人口【千人】","002","女","002","日本人人口","07000","福島県","","923"
"001","人口【千人】","002","女","002","日本人人口","08000","茨城県","","1,408"
"001","人口【千人】","002","女","002","日本人人口","09000","栃木県","","955"
"001","人口【千人】","002","女","002","日本人人口","10000","群馬県","","955"
"001","人口【千人】","002","女","002","日本人人口","11000","埼玉県","","3,599"
"001","人口【千人】","002","女","002","日本人人口","12000","千葉県","","3,090"
"001","人口【千人】","002","女","002","日本人人口","13000","東京都","","6,817"
"001","人口【千人】","002","女","002","日本人人口","14000","神奈川県","","4,514"
"001","人口【千人】","002","女","002","日本人人口","15000","新潟県","","1,135"
"001","人口【千人】","002","女","002","日本人人口","16000","富山県","","528"
"001","人口【千人】","002","女","002","日本人人口","17000","石川県","","579"
"001","人口【千人】","002","女","002","日本人人口","18000","福井県","","388"
"001","人口【千人】","002","女","002","日本人人口","19000","山梨県","","407"
"001","人口【千人】","002","女","002","日本人人口","20000","長野県","","1,030"
"001","人口【千人】","002","女","002","日本人人口","21000","岐阜県","","998"
"001","人口【千人】","002","女","002","日本人人口","22000","静岡県","","1,803"
"001","人口【千人】","002","女","002","日本人人口","23000","愛知県","","3,655"
"001","人口【千人】","002","女","002","日本人人口","24000","三重県","","890"
"001","人口【千人】","002","女","002","日本人人口","25000","滋賀県","","702"
"001","人口【千人】","002","女","002","日本人人口","26000","京都府","","1,320"
"001","人口【千人】","002","女","002","日本人人口","27000","大阪府","","4,486"
"001","人口【千人】","002","女","002","日本人人口","28000","兵庫県","","2,812"
"001","人口【千人】","002","女","002","日本人人口","29000","奈良県","","698"
"001","人口【千人】","002","女","002","日本人人口","30000","和歌山県","","486"
"001","人口【千人】","002","女","002","日本人人口","31000","鳥取県","","287"
"001","人口【千人】","002","女","002","日本人人口","32000","島根県","","344"
"001","人口【千人】","002","女","002","日本人人口","33000","岡山県","","968"
"001","人口【千人】","002","女","002","日本人人口","34000","広島県","","1,422"
"001","人口【千人】","002","女","002","日本人人口","35000","山口県","","704"
"001","人口【千人】","002","女","002","日本人人口","36000","徳島県","","378"
"001","人口【千人】","002","女","002","日本人人口","37000","香川県","","487"
"001","人口【千人】","002","女","002","日本人人口","38000","愛媛県","","700"
"001","人口【千人】","002","女","002","日本人人口","39000","高知県","","367"
"001","人口【千人】","002","女","002","日本人人口","40000","福岡県","","2,658"
"001","人口【千人】","002","女","002","日本人人口","41000","佐賀県","","425"
"001","人口【千人】","002","女","002","日本人人口","42000","長崎県","","698"
"001","人口【千人】","002","女","002","日本人人口","43000","熊本県","","913"
"001","人口【千人】","002","女","002","日本人人口","44000","大分県","","590"
"001","人口【千人】","002","女","002","日本人人口","45000","宮崎県","","563"
"001","人口【千人】","002","女","002","日本人人口","46000","鹿児島県","","840"
"001","人口【千人】","002","女","002","日本人人口","47000","沖縄県","","730"
